id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
71825,"River Room, Bellingen Treehouse",369209,Kirsty,Bellingen,-30.36893,152.88534,Private room,300.0,2.0,336,2024-07-08,2.23,3,328,26,PID-STRA-6155
325891,Kiwarrak Country Retreat-The Arbour,1666893,Tara And Meg,Mid-Coast,-31.96903,152.50838,Entire home/apt,187.0,2.0,119,2024-08-02,0.85,2,268,4,PID-STRA-9140-2
325913,Kiwarrak Country Retreat -The Bower,1666893,Tara And Meg,Mid-Coast,-31.96723,152.50814,Entire home/apt,183.0,2.0,216,2024-08-31,1.66,2,237,26,PID-STRA-9140-2
534462,Tree Tops Scott’s Head sleeps 8 & 100m to beach.,2626160,Nick,Nambucca Valley,-30.74711,152.9948,Entire home/apt,294.0,2.0,257,2024-08-03,1.84,1,289,23,PID-STRA-20136
737655,Lakeview Cottage - Between the ocean and the lake!,359599,Ken,Mid-Coast,-32.24756,152.51427,Entire home/apt,263.0,2.0,143,2024-08-04,1.02,11,242,24,PID-STRA-12211
738621,Lakeview Lodge - Between the ocean and the lake!,359599,Ken,Mid-Coast,-32.247334,152.514402,Entire home/apt,290.0,2.0,95,2024-07-04,0.73,11,302,8,PID-STRA-13169
756889,"""Mansfield"" Cottage in the Mountains by the River",3985086,Jill,Mid-Coast,-32.008526,151.900818,Entire home/apt,216.0,2.0,50,2023-12-29,0.35,1,249,2,PID-STRA-6665
759197,Bemurrah Homestead,4001699,Carolyn,Kempsey,-30.80909,152.44042,Entire home/apt,425.0,2.0,22,2024-03-31,0.19,1,333,3,PID-STRA-9513
767030,Bellingen Self-contained Apartment,4020173,Rae,Bellingen,-30.44145,152.89598,Entire home/apt,130.0,2.0,274,2024-08-04,1.91,1,114,19,PID-STRA-8455
877862,Mulberry Cottage - 2 mins walk to town,4638933,Shani & Steve,Bellingen,-30.45387,152.89347,Entire home/apt,140.0,2.0,371,2024-08-05,2.66,1,318,28,PID-STRA-6314-2
